Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,crypto1,general1,java1,networking1,crypto2,general2,java2,networking2,cosine_similarity,class
34955,32529,0.39,0.0,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,4.21,8.76,7.21,6.21,0.984,dup
34955,28870,18.79,25.32,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,14.88,18.66,15.69,16.57,1.0,dup
34955,28455,6.32,4.51,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,10.19,17.9,14.8,15.91,0.992,dup
34955,28353,2.1,0.0,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,8.32,13.33,11.53,11.33,0.995,dup
34955,28063,1.62,0.0,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,16.99,22.61,17.63,14.26,0.992,dup
34955,27661,1.86,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,13.28,25.65,19.52,17.93,0.988,dup
34955,26991,0.14,0.0,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,3.57,4.92,3.57,4.92,0.995,dup
34955,26512,1.83,0.0,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,12.24,23.09,15.23,16.49,0.988,dup
34955,25993,18.79,25.32,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,14.63,19.26,15.71,17.07,1.0,dup
34955,25456,1.61,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,13.23,17.39,17.82,17.36,0.996,dup
34955,25270,1.62,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,6.61,10.68,7.01,8.0,0.993,dup
34955,25164,5.35,4.51,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,11.62,20.02,15.72,16.31,0.994,dup
34955,24938,0.14,0.0,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,6.5,10.13,8.48,8.18,0.996,dup
34955,24509,18.79,25.32,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,13.4,17.26,14.29,15.18,1.0,dup
34955,24192,17.56,25.32,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,15.21,20.54,16.24,18.71,0.999,dup
34955,23950,6.82,4.51,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,12.38,21.26,13.54,17.23,0.991,dup
34955,23899,3.29,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,10.56,21.14,16.27,10.73,0.973,dup
34955,20198,0.68,0.51,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,11.97,18.61,14.82,15.59,0.997,dup
34955,19691,0.39,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,9.73,15.41,9.32,10.45,0.99,dup
34955,19466,0.14,0.0,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,3.09,3.09,3.09,3.09,0.997,dup
34955,12981,3.81,1.39,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,14.58,20.93,16.12,17.1,0.998,dup
34955,12420,2.86,0.59,0.0,0.0,1.0,1.0,0.31,16.11,19.92,16.95,17.83,18.14,22.31,16.8,19.63,0.999,dup
34955,9045,1.9,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,11.02,20.88,14.27,12.13,0.982,dup
34955,8902,1.68,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,7.2,7.24,5.63,10.09,0.978,dup
34955,8103,2.58,0.0,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,17.82,26.0,17.88,19.97,0.996,dup
34955,6283,1.63,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,14.15,20.65,12.41,15.67,0.992,dup
34955,4153,3.12,0.0,0.0,0.0,1.0,1.0,0.38,16.11,19.92,16.95,17.83,18.61,39.35,26.58,28.94,0.984,dup
34955,3029,0.92,0.0,0.0,0.0,0.0,1.0,0.0,16.11,19.92,16.95,17.83,8.08,10.29,8.8,12.86,0.987,dup
34955,3027,0.92,0.0,0.0,0.0,1.0,1.0,0.0,16.11,19.92,16.95,17.83,8.08,10.29,8.8,12.86,0.987,dup
