bug ID,crypto,general,java,networking
37587,9.4541,22.1088,16.368,14.2005
37586,17.625,23.9005,15.3878,21.8514
37585,19.2933,22.1854,17.2439,20.6717
37584,15.4417,28.4004,23.7987,17.4126
37583,13.365,22.1642,18.4437,23.6498
37582,25.6901,32.9133,27.6217,26.0413
37581,12.9919,5.3563,6.6832,4.6788
37580,3.4149,0.6025,3.4149,1.937
37579,16.3954,24.6154,14.2668,19.5325
37578,20.013,34.3549,24.7706,33.5418
37577,8.7946,14.0839,11.3853,9.4756
37576,15.0742,18.3316,16.9175,18.4547
37575,15.7258,20.0484,14.399,14.3016
37574,15.7417,23.3175,21.0613,22.9901
37573,15.6481,19.7389,15.2501,15.5845
37572,11.2046,16.6371,8.9305,11.5382
37571,14.3773,15.2784,12.9096,13.2921
37570,5.7615,16.7122,7.8369,15.4314
37569,14.9514,21.8705,18.8741,15.5916
37568,10.2009,19.7901,14.2442,16.0432
37567,17.0267,28.6719,20.6271,18.6882
37566,8.2554,8.2554,7.7181,8.2554
37565,17.7712,23.8919,18.2131,19.7627
37564,3.5837,9.9338,2.6764,6.17
37563,10.82,18.646,11.7901,11.2034
37562,10.8354,12.699,11.5021,10.8354
37561,13.2156,22.5162,15.8754,18.1141
37560,18.1991,20.219,14.2099,17.0413
37559,12.9983,23.5445,14.1518,19.1258
37558,26.3684,33.6431,27.893,29.0431
37557,21.4879,25.9449,18.862,22.8857
37556,8.893,16.9053,12.0136,14.08
37555,8.287,17.5839,7.3251,9.6319
37554,8.0992,19.3043,11.3342,12.9963
37553,10.4381,14.9218,11.3992,11.9643
37552,13.4438,25.4317,14.425,17.4925
37551,17.4046,28.1253,21.732,22.0622
37550,12.9205,20.8066,10.3616,14.8776
37549,12.9817,20.4191,17.6145,18.3881
37548,17.2887,26.8712,18.9411,21.8015
37547,15.7458,18.7974,12.7509,16.2959
37546,6.1185,15.2099,11.8865,6.0033
37545,8.7144,15.2456,9.6186,12.0289
37544,10.3814,14.4898,10.5304,4.3687
37543,13.402,17.1004,14.1279,15.0118
37542,12.865,21.2915,11.9873,17.1362
37541,3.3036,3.3036,0.915,3.3036
37540,25.7093,31.8148,21.8869,22.2944
37539,15.0379,15.9935,13.021,13.905
37538,13.4881,14.1902,8.2373,4.6879
37537,14.4016,7.4601,9.2666,6.8742
37536,21.568,24.8985,24.8223,21.9994
37535,18.9922,30.1947,23.5467,21.6714
37534,18.2689,27.5351,24.3524,23.9858
37533,18.7263,28.0984,19.2214,27.4114
37532,10.9656,16.3105,13.3128,13.1131
37531,22.1158,32.5251,21.8975,28.2748
37530,17.4988,23.3326,17.3252,19.375
37529,15.1419,24.1623,16.9825,20.3308
37528,18.4098,29.7958,20.8541,18.6695
37527,11.1018,18.8078,13.9653,17.8469
37526,11.1018,18.8078,13.9653,17.8469
37525,12.05,17.6153,12.0257,10.7658
