Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,class
34955,12420,2.8627,0.5863,0.0,0.0,1.0,1.0,0.3125,dup
34955,9045,1.895,0.0,0.0,0.0,0.0,1.0,0.0,dup
34955,8902,1.6822,0.0,0.0,0.0,0.0,1.0,0.0,dup
34955,8103,2.577,0.0,0.0,0.0,1.0,1.0,0.0,dup
34955,6283,1.6305,0.0,0.0,0.0,0.0,1.0,0.0,dup
34955,4153,3.1218,0.0,0.0,0.0,1.0,1.0,0.3846,dup
34955,3029,0.9157,0.0,0.0,0.0,0.0,1.0,0.0,dup
34955,3027,0.9157,0.0,0.0,0.0,1.0,1.0,0.0,dup
34955,1618,8.0663,6.4059,0.0,0.0,0.0,1.0,0.0,dup
34945,34641,3.8715,0.0,0.0,1.0,1.0,1.0,0.0476,dup
34917,16260,3.6853,2.3977,0.0,0.0,1.0,1.0,0.0,dup
34917,5300,4.0076,2.3977,0.0,0.0,1.0,1.0,0.0,dup
34867,34805,11.4285,11.4411,0.0,1.0,1.0,1.0,0.0,dup
34867,34479,11.5575,10.7142,0.0,1.0,1.0,1.0,0.0,dup
34867,33962,5.7019,3.7837,0.0,0.0,1.0,1.0,0.0,dup
34867,33904,11.1878,4.9763,0.0,0.0,1.0,1.0,0.0,dup
34867,33872,7.7961,2.1657,0.0,1.0,1.0,1.0,0.0,dup
34867,33867,7.5454,3.3583,0.0,1.0,1.0,1.0,0.0,dup
34867,33859,14.854,12.9343,0.0,1.0,1.0,1.0,0.0476,dup
34867,33841,8.6735,10.7142,0.0,1.0,1.0,0.5,0.0476,dup
34861,34306,7.3687,3.706,0.0,0.0,1.0,1.0,0.0,dup
34805,34479,17.885,20.6686,0.0,1.0,1.0,1.0,0.0,dup
34805,33962,4.3251,0.9337,0.0,0.0,1.0,1.0,0.0,dup
34805,33904,13.7292,11.3388,0.0,0.0,1.0,1.0,0.0,dup
34805,33872,7.6979,2.349,0.0,1.0,1.0,1.0,0.0,dup
34805,33867,6.4375,4.5711,0.0,1.0,1.0,1.0,0.0,dup
34805,33859,17.4264,23.8826,0.0,1.0,1.0,1.0,0.0476,dup
34805,33841,15.995,16.8632,0.0,1.0,1.0,0.5,0.0476,dup
34792,34450,8.1063,3.3042,0.0,0.0,0.0,1.0,0.0,dup
34782,34569,15.9955,20.6266,0.0,1.0,1.0,1.0,0.0476,dup
34759,24047,9.8192,2.2034,0.0,0.0,1.0,1.0,1.0,dup
34733,34639,18.1046,12.4605,0.0,1.0,1.0,1.0,0.0,dup
34733,34460,6.0048,0.0,0.0,1.0,1.0,1.0,0.0476,dup
34733,34282,12.9603,7.6652,0.0,1.0,1.0,1.0,0.0,dup
34733,34081,7.9179,3.9726,0.0,0.0,1.0,1.0,0.0,dup
34696,34630,18.9722,15.8329,0.0,1.0,1.0,1.0,0.0,dup
34660,34657,38.42,82.9872,0.0,0.0,1.0,1.0,0.0,dup
34639,34460,7.7434,0.0,0.0,1.0,1.0,1.0,0.0476,dup
34639,34282,20.2128,33.4307,0.0,1.0,1.0,1.0,0.0,dup
34639,34081,12.7027,7.8583,0.0,0.0,1.0,1.0,0.0,dup
34596,34573,14.3728,29.8904,0.0,0.0,1.0,1.0,0.0,dup
34576,24327,23.1099,22.1194,0.0,0.0,1.0,1.0,0.0,dup
34479,33962,5.4826,0.8416,0.0,0.0,1.0,1.0,0.0,dup
34479,33904,10.7456,4.6652,0.0,0.0,1.0,1.0,0.0,dup
34479,33872,10.6649,2.5918,0.0,1.0,1.0,1.0,0.0,dup
34479,33867,6.0841,2.6921,0.0,1.0,1.0,1.0,0.0,dup
34479,33859,21.614,21.2083,0.0,1.0,1.0,1.0,0.0476,dup
34479,33841,16.5807,17.5573,0.0,1.0,1.0,0.5,0.0476,dup
34460,34282,6.2052,0.0,0.0,1.0,1.0,1.0,0.0476,dup
34460,34081,3.9808,0.0,0.0,0.0,1.0,1.0,0.0476,dup
34451,34307,6.7143,0.0,0.0,1.0,1.0,1.0,0.0,dup
34451,33985,5.2007,0.0,0.0,1.0,1.0,0.3333,0.0,dup
34397,33938,8.2469,2.0345,0.0,0.0,1.0,1.0,0.0476,dup
34307,33985,5.0388,0.9527,0.0,1.0,1.0,0.3333,0.0,dup
34282,34081,13.3462,9.29,0.0,0.0,1.0,1.0,0.0,dup
34221,33936,3.2129,1.7578,0.0,1.0,1.0,1.0,0.0476,dup
34221,33915,7.3717,1.401,0.0,1.0,1.0,1.0,0.0,dup
34116,34109,59.2498,111.8391,0.0,0.0,1.0,1.0,0.0,dup
33964,33789,13.0301,11.7406,0.0,0.0,1.0,1.0,0.0,dup
33962,33904,5.8496,2.1329,0.0,0.0,1.0,1.0,0.0,dup
33962,33872,3.9951,1.661,0.0,0.0,1.0,1.0,0.0,dup
33962,33867,2.8138,0.0,0.0,0.0,1.0,1.0,0.0,dup
33962,33859,7.3708,3.6751,0.0,0.0,1.0,1.0,0.0476,dup
33962,33841,7.3664,1.5876,0.0,0.0,1.0,0.5,0.0476,dup
33948,33552,5.1962,1.9476,0.0,1.0,1.0,1.0,0.0,dup
33948,33547,4.4603,1.9476,0.0,1.0,1.0,1.0,0.0,dup
33948,33546,2.9222,1.9476,0.0,1.0,1.0,1.0,0.0,dup
33936,33915,4.7124,1.5465,0.0,1.0,1.0,1.0,0.0476,dup
33904,33872,6.4648,0.0,0.0,0.0,1.0,1.0,0.0,dup
33904,33867,7.3417,3.7471,0.0,0.0,1.0,1.0,0.0,dup
33904,33859,14.1925,14.0597,0.0,0.0,1.0,1.0,0.0476,dup
33904,33841,11.6431,8.8197,0.0,0.0,1.0,0.5,0.0476,dup
33872,33867,6.5668,0.0,0.0,1.0,1.0,1.0,0.0,dup
33872,33859,8.686,3.5205,0.0,1.0,1.0,1.0,0.0476,dup
33872,33841,6.2164,0.0,0.0,1.0,1.0,0.5,0.0476,dup
33867,33859,8.7155,3.1838,0.0,1.0,1.0,1.0,0.0476,dup
33867,33841,5.3458,1.7733,0.0,1.0,1.0,0.5,0.0476,dup
33859,33841,13.1905,14.5814,0.0,1.0,1.0,0.5,1.0,dup
33710,33031,17.1801,16.0924,0.0,1.0,1.0,1.0,0.0,dup
33573,30012,3.6077,0.0,0.0,1.0,1.0,1.0,0.0,dup
33552,33547,13.0465,13.0639,0.0,1.0,1.0,1.0,0.0,dup
33552,33546,11.39,14.6956,0.0,1.0,1.0,1.0,0.0,dup
33547,33546,4.1919,2.1247,0.0,1.0,1.0,1.0,0.0,dup
33194,21299,5.5004,2.029,0.0,1.0,1.0,1.0,0.0,dup
33194,21119,11.5968,6.3596,0.0,1.0,1.0,1.0,0.0,dup
32948,32511,13.2836,19.1859,0.0,0.0,1.0,1.0,0.0,dup
32948,32510,11.9563,11.1311,0.0,0.0,1.0,1.0,0.0,dup
32948,32453,23.1457,39.4686,0.0,0.0,1.0,1.0,0.0,dup
32948,32386,11.3786,12.3238,0.0,0.0,1.0,1.0,0.0,dup
32595,20794,8.467,3.6791,0.0,1.0,1.0,1.0,0.0,dup
32562,32529,3.8991,0.0,0.0,0.0,0.0,1.0,0.0,dup
32562,28870,6.8611,8.6738,0.0,0.0,0.0,1.0,0.0,dup
32562,28455,5.7108,0.0,0.0,0.0,1.0,1.0,0.0,dup
32562,28353,4.6159,3.4057,0.0,0.0,0.0,1.0,0.0,dup
32562,28063,4.6159,3.4057,0.0,0.0,0.0,1.0,0.0,dup
32562,27661,3.1103,3.0198,0.0,0.0,1.0,1.0,0.0,dup
32562,26991,1.2986,0.0,0.0,0.0,0.0,1.0,0.0,dup
32562,26512,2.8042,0.0,0.0,0.0,0.0,1.0,0.0,dup
32562,25993,3.1103,3.0198,0.0,0.0,0.0,1.0,0.0,dup
32562,25456,5.7108,3.4057,0.0,0.0,1.0,1.0,0.0,dup
32562,25270,3.1103,0.0,0.0,0.0,1.0,1.0,0.0,dup
32562,25164,0.2038,0.0,0.0,0.0,1.0,1.0,0.0,dup
32562,24938,3.8991,0.0,0.0,0.0,0.0,1.0,0.0,dup
32562,24509,4.6159,3.4057,0.0,0.0,0.0,1.0,0.0,dup
32562,24192,1.2986,0.0,0.0,0.0,0.0,1.0,0.0,dup
32562,23950,5.7108,3.0198,0.0,0.0,1.0,1.0,0.0,dup
32562,23899,5.7108,0.0,0.0,0.0,1.0,1.0,0.0,dup
32562,20198,1.2986,0.0,0.0,0.0,1.0,1.0,0.0,dup
32562,19691,3.8991,0.0,0.0,0.0,1.0,1.0,0.0,dup
32562,19466,1.2986,0.0,0.0,0.0,0.0,1.0,0.0,dup
32562,12981,4.6159,3.4057,0.0,0.0,0.0,1.0,0.0,dup
32562,12420,1.2986,0.0,0.0,0.0,0.0,1.0,0.3125,dup
32562,9045,1.2986,0.0,0.0,0.0,1.0,1.0,0.0,dup
32562,8902,3.1103,3.0198,0.0,0.0,1.0,1.0,0.0,dup
32562,8103,5.7108,3.0198,0.0,0.0,0.0,1.0,0.0,dup
32562,6283,3.6953,0.0,0.0,0.0,1.0,1.0,0.0,dup
32562,4153,5.7108,3.0198,0.0,0.0,0.0,1.0,0.3846,dup
32562,3029,2.449,0.0,0.0,0.0,1.0,1.0,0.0,dup
32562,3027,2.449,0.0,0.0,0.0,0.0,1.0,0.0,dup
32562,1618,5.0495,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,28870,4.0628,0.0,0.0,0.0,1.0,1.0,0.0,dup
32529,28455,4.0628,0.0,0.0,0.0,0.0,1.0,0.0,dup
