bugid,c1,c2,c3,c4,c5,c6
37378,4.7461,1.1481,2.4519,3.0657,2.1871,1.6225
37377,6.2421,1.3695,2.4034,5.3708,0.0,4.9643
37376,3.1097,1.9424,1.5221,0.9544,2.1553,2.0827
37375,2.8048,2.6366,3.0643,3.1496,3.3889,4.7004
37374,4.1336,1.1127,2.0211,2.0784,0.7698,4.2659
37373,1.2535,0.2305,1.5223,1.6197,0.1384,2.0927
37372,3.1574,0.8873,0.8133,0.8876,0.6717,7.4439
37371,1.1358,0.0,2.1133,1.4018,0.0,5.5079
37370,1.5572,0.0,2.3728,0.0,0.7273,1.5572
37369,0.3519,0.1655,0.3519,0.9204,0.5316,1.4052
37368,1.202,0.5458,2.4416,0.8584,0.9149,4.7481
37367,0.6312,0.3524,0.196,0.5631,0.1455,1.9544
37366,5.783,1.2999,1.9115,0.7816,0.0,5.712
37365,2.9516,0.9979,1.3701,2.382,1.0537,4.8685
37364,0.6376,0.5511,1.1091,0.5442,0.2978,1.9116
37363,0.5709,0.5516,0.5474,1.5535,0.0,2.2076
37362,0.7826,0.0,1.0041,0.7826,0.0,2.2414
37361,2.5285,0.5073,1.9529,0.4543,0.3809,3.8205
37360,4.4452,0.6881,2.252,1.6092,1.2484,5.5552
37359,2.8974,1.3845,2.2192,3.6031,0.7998,8.3152
37358,2.005,0.8618,1.5088,1.2168,1.0031,3.021
37357,10.2078,2.3202,4.7473,4.0276,1.4983,5.3117
37356,2.3446,0.742,1.299,3.6679,0.8636,3.4806
37355,2.6509,3.3608,2.0427,1.7935,0.3558,5.5138
37354,0.8238,1.2133,0.0,1.2133,0.0,1.2137
37353,3.1104,1.246,3.4117,1.547,1.4276,3.5968
37352,2.8148,1.4705,0.7557,0.7804,0.0,3.4076
37351,5.6406,2.2795,2.0195,6.5591,1.2678,4.6108
37350,2.6017,1.0617,3.486,2.6017,1.54,4.5477
37349,3.5208,0.0,1.2821,0.0,0.0,4.7433
37348,6.3141,1.7525,0.8769,5.3346,1.9181,4.3795
37347,0.4869,0.4869,0.4869,0.4869,0.0,0.9725
37346,0.8003,2.8521,0.8029,0.8003,0.0,2.8521
37345,2.7537,0.0,1.4352,1.6396,2.2874,4.0158
37344,2.0317,0.9964,0.9964,2.0317,0.0,2.0317
37343,4.6808,1.6557,2.7527,2.3445,0.0,5.1834
37342,4.0025,1.0768,0.878,2.6208,0.0,4.2262
37341,4.4224,0.0,3.7604,2.6455,1.8481,6.7701
37340,2.8785,2.081,2.8055,1.7873,2.1816,2.0212
37339,4.9173,0.5614,5.0264,3.6251,0.477,8.3018
37338,5.21,0.4341,2.669,0.558,2.7772,8.1824
37337,1.6491,2.0002,0.9219,1.6491,0.0,3.6052
37336,1.9551,0.6658,0.6066,0.4843,0.0,6.5239
37335,3.9927,1.5748,0.0,2.2649,1.4633,8.4445
37334,4.9106,0.3778,1.3151,2.8166,0.6356,6.5942
37333,3.7601,0.0,3.7601,7.1767,1.5787,2.817
37332,7.1116,2.5003,2.403,6.1804,1.8191,8.5099
37331,4.6996,0.4837,2.284,0.7135,1.2999,2.0382
37330,4.5189,0.8837,5.7882,7.3256,3.0139,7.3472
37329,3.9844,3.2944,2.4889,4.9233,3.2814,5.717
37328,0.0,0.0,0.0,2.2904,0.0,4.6164
37327,5.358,0.8944,3.4816,1.1526,1.5196,9.0724
37326,4.7718,1.1039,4.1038,3.006,0.3432,9.1187
37325,2.7076,0.0,4.3045,0.7633,0.7633,5.9246
37324,5.8042,0.0,3.6762,1.1873,0.461,8.3653
37323,2.7263,0.0,4.3464,0.0,0.6907,3.7756
37322,1.3622,2.3929,1.3735,0.8452,0.6433,3.2776
37321,4.7348,0.5363,1.4562,1.7192,0.0,5.4634
37320,2.9979,0.3188,1.7162,0.9905,0.1382,3.7507
